Date,Mood,SleepMinutes,ActiveMinutes
2021-06-25,3,496,59
2021-06-26,2,385,72
2021-06-27,4,311,46
2021-06-28,4,464,71
2021-06-29,3,485,44
2021-06-30,6,480,58
2021-07-01,4,329,64
2021-07-02,4,410,37
2021-07-03,3,303,28
2021-07-04,5,346,69
2021-07-05,5,336,79
2021-07-06,2,488,13
2021-07-07,3,335,85
2021-07-08,6,409,73
2021-07-09,1,452,25
2021-07-10,2,372,44
2021-07-11,5,443,29
2021-07-12,5,413,98
2021-07-13,3,392,40
2021-07-14,6,399,68
2021-07-15,1,313,40
2021-07-16,3,439,29
2021-07-17,1,377,25
2021-07-18,3,411,20
2021-07-19,3,446,27
2021-07-20,6,392,31
2021-07-21,2,378,102
2021-07-22,2,405,13
2021-07-23,2,308,57
2021-07-24,1,410,98
2021-07-25,3,406,32
2021-07-26,2,423,62
2021-07-27,1,387,84
2021-07-28,4,362,50
2021-07-29,6,327,68
2021-07-30,3,374,22
2021-07-31,3,365,17
2021-08-01,2,466,58
2021-08-02,2,418,23
2021-08-03,5,350,53
2021-08-04,4,335,74
2021-08-05,6,348,80
2021-08-06,1,323,41
2021-08-07,5,419,30
2021-08-08,3,424,86
2021-08-09,6,327,40
2021-08-10,4,471,16
2021-08-11,2,307,55
2021-08-12,3,413,80
2021-08-13,6,345,67
2021-08-14,4,409,38
2021-08-15,4,385,68
2021-08-16,6,388,35
2021-08-17,3,403,63
2021-08-18,6,488,21
2021-08-19,6,321,28
2021-08-20,5,475,48
2021-08-21,2,438,77
2021-08-22,1,322,21
2021-08-23,6,499,34
2021-08-24,1,321,28
2021-08-25,3,342,67
2021-08-26,5,474,21
2021-08-27,3,473,96
2021-08-28,6,315,80
2021-08-29,4,406,28
2021-08-30,3,387,49
2021-08-31,2,359,52
2021-09-01,2,323,44
2021-09-02,4,500,79
2021-09-03,4,359,76
2021-09-04,4,312,60
2021-09-05,3,314,97
2021-09-06,6,442,33
2021-09-07,3,355,96
2021-09-08,1,388,78
2021-09-09,6,428,23
2021-09-10,2,343,83
2021-09-11,5,455,69
2021-09-12,3,302,81
2021-09-13,5,407,19
2021-09-14,2,379,97
2021-09-15,1,403,29
2021-09-16,1,356,65
2021-09-17,1,348,60
2021-09-18,5,360,90
2021-09-19,5,417,19
2021-09-20,1,399,82
2021-09-21,6,373,18
2021-09-22,4,319,87
2021-09-23,6,323,41
2021-09-24,5,440,86
2021-09-25,1,307,82
2021-09-26,1,360,88
2021-09-27,5,308,15
2021-09-28,4,370,21
2021-09-29,3,320,91
2021-09-30,4,378,97
2021-10-01,1,495,96
2021-10-02,4,463,89
2021-10-03,4,443,16
2021-10-04,3,331,18
2021-10-05,2,425,59
2021-10-06,6,478,32
2021-10-07,6,390,102
2021-10-08,3,495,63
2021-10-09,4,500,25
2021-10-10,2,382,85
2021-10-11,5,355,102
2021-10-12,3,324,40
2021-10-13,6,441,32
2021-10-14,6,429,13
2021-10-15,1,467,20
2021-10-16,5,304,43
2021-10-17,1,348,90
2021-10-18,6,417,80
2021-10-19,6,441,44
2021-10-20,3,415,79
2021-10-21,2,355,23
2021-10-22,5,428,81
2021-10-23,5,402,25
2021-10-24,4,444,54
2021-10-25,2,402,80
2021-10-26,6,454,72
2021-10-27,3,306,42
2021-10-28,3,453,85
2021-10-29,3,326,58
2021-10-30,2,372,37
2021-10-31,4,445,74
2021-11-01,3,420,22
2021-11-02,3,487,62
2021-11-03,1,421,54
2021-11-04,3,396,76
2021-11-05,2,308,36
2021-11-06,2,362,83
2021-11-07,6,460,28
2021-11-08,5,384,91
2021-11-09,5,358,95
2021-11-10,3,391,95
2021-11-11,4,473,99
2021-11-12,4,411,23
2021-11-13,3,421,25
2021-11-14,2,400,75
2021-11-15,5,457,75
2021-11-16,4,395,56
2021-11-17,6,404,27
2021-11-18,6,470,56
2021-11-19,4,343,62
2021-11-20,1,483,13
2021-11-21,4,440,93
2021-11-22,5,464,53
2021-11-23,4,326,16
2021-11-24,2,405,81
2021-11-25,3,483,37
2021-11-26,1,309,44
2021-11-27,3,376,22
2021-11-28,1,458,36
2021-11-29,6,464,47
2021-11-30,3,463,21
2021-12-01,5,376,62
